termo	frequênca
ele	27
lá	19
me	15
eu	10
ela	9
beija	8
deus	8
pra	7
o	7
de	7
beijo	7
e	6
por	6
que	6
é	5
mais	5
quando	4
seu	4
namorado	4
livre	4
além	4
também	4
ajoelhou	4
dar	3
você	3
mas	3
mil	3
vezes	3
se	3
tabela	3
sé	3
quis	2
só	2
fico	2
arriado	2
quatro	2
vai	2
merda	2
sei	2
vou	2
arrepender	2
depois	2
um	2
nós	2
dois	2
achou	2
ia	2
sacanear	2
está	2
aqui	2
para	2
salvar	2
todo	1
meu	1
amor	1
como	1
amante	1
ainda	1
mete	1
trás	1
nesse	1
pobre	1
rapaz	1
garante	1
nele	1
esse	1
corpo	1
gostoso	1
dele	1
ninguém	1
